sep=;
Version CSV1|Tool SBFspot3.1.2 (Linux)|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100537803;SN: 2100537803
;SB 4000TL-20;SB 4000TL-20
;2100537803;2100537803
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
01/01/2016 00:00:00;16003,390;0,000
01/01/2016 00:05:00;16003,390;0,000
01/01/2016 00:10:00;16003,390;0,000
01/01/2016 00:15:00;16003,390;0,000
01/01/2016 00:20:00;16003,390;0,000
01/01/2016 00:25:00;16003,390;0,000
01/01/2016 00:30:00;16003,390;0,000
01/01/2016 00:35:00;16003,390;0,000
01/01/2016 00:40:00;16003,390;0,000
01/01/2016 00:45:00;16003,390;0,000
01/01/2016 00:50:00;16003,390;0,000
01/01/2016 00:55:00;16003,390;0,000
01/01/2016 01:00:00;16003,390;0,000
01/01/2016 01:05:00;16003,390;0,000
01/01/2016 01:10:00;16003,390;0,000
01/01/2016 01:15:00;16003,390;0,000
01/01/2016 01:20:00;16003,390;0,000
01/01/2016 01:25:00;16003,390;0,000
01/01/2016 01:30:00;16003,390;0,000
01/01/2016 01:35:00;16003,390;0,000
01/01/2016 01:40:00;16003,390;0,000
01/01/2016 01:45:00;16003,390;0,000
01/01/2016 01:50:00;16003,390;0,000
01/01/2016 01:55:00;16003,390;0,000
01/01/2016 02:00:00;16003,390;0,000
01/01/2016 02:05:00;16003,390;0,000
01/01/2016 02:10:00;16003,390;0,000
01/01/2016 02:15:00;16003,390;0,000
01/01/2016 02:20:00;16003,390;0,000
01/01/2016 02:25:00;16003,390;0,000
01/01/2016 02:30:00;16003,390;0,000
01/01/2016 02:35:00;16003,390;0,000
01/01/2016 02:40:00;16003,390;0,000
01/01/2016 02:45:00;16003,390;0,000
01/01/2016 02:50:00;16003,390;0,000
01/01/2016 02:55:00;16003,390;0,000
01/01/2016 03:00:00;16003,390;0,000
01/01/2016 03:05:00;16003,390;0,000
01/01/2016 03:10:00;16003,390;0,000
01/01/2016 03:15:00;16003,390;0,000
01/01/2016 03:20:00;16003,390;0,000
01/01/2016 03:25:00;16003,390;0,000
01/01/2016 03:30:00;16003,390;0,000
01/01/2016 03:35:00;16003,390;0,000
01/01/2016 03:40:00;16003,390;0,000
01/01/2016 03:45:00;16003,390;0,000
01/01/2016 03:50:00;16003,390;0,000
01/01/2016 03:55:00;16003,390;0,000
01/01/2016 04:00:00;16003,390;0,000
01/01/2016 04:05:00;16003,390;0,000
01/01/2016 04:10:00;16003,390;0,000
01/01/2016 04:15:00;16003,390;0,000
01/01/2016 04:20:00;16003,390;0,000
01/01/2016 04:25:00;16003,390;0,000
01/01/2016 04:30:00;16003,390;0,000
01/01/2016 04:35:00;16003,390;0,000
01/01/2016 04:40:00;16003,390;0,000
01/01/2016 04:45:00;16003,390;0,000
01/01/2016 04:50:00;16003,390;0,000
01/01/2016 04:55:00;16003,390;0,000
01/01/2016 05:00:00;16003,390;0,000
01/01/2016 05:05:00;16003,390;0,000
01/01/2016 05:10:00;16003,390;0,000
01/01/2016 05:15:00;16003,390;0,000
01/01/2016 05:20:00;16003,390;0,000
